ID_PESS,ZONA_D
50037102,5
50037103,5
50037104,5
50300101,4
50300101,5
50301101,5
50301102,61
50301102,5
50302101,100
50302101,5
50304101,32
50304101,5
50309101,0
50331101,77
50331101,5
50765101,5
50765102,5
50781101,0
50781102,5
50783101,5
50783102,18
50783102,5
50783103,35
50783103,5
50836101,42
50836101,5
50836102,56
50836102,55
50836102,5
50836103,56
50836103,5
50842101,6
50842101,5
50848101,5
50856101,5
50856102,4
50856102,25
50856102,5
50872101,2
50872101,5
50872102,2
50872102,5
50872103,27
50872103,5
50919101,9
50919101,5
51336101,88
51336101,5
51337101,35
51337101,5
51343101,5
51353101,0
51353102,29
51353102,5
51359101,5
51366101,82
51366101,5
51366102,0
51367101,80
51367101,5
51368101,0
51368102,0
51368103,1
51368103,5
51372101,24
51372101,5
51372101,69
51384101,63
51384101,5
51429101,419
51429101,5
51448101,49
51448101,5
51448102,0
51490101,0
51543101,6
51543101,5
51543102,6
51543102,5
51543102,35
51543103,5
51543103,36
51543104,6
51543104,5
51543104,35
51543105,35
51543105,5
51548101,198
51548101,166
51548101,5
51560101,5
52020101,2
52020101,5
52030101,1
52030101,5
52030102,1
52030102,3
52030102,5
52040101,80
52040101,5
52040101,2
52040102,0
52040103,79
52040103,100
52040103,5
52065101,0
52065102,0
52068101,5
52069101,1
52069101,5
52069101,36
52069102,0
52070101,76
52070101,79
52070101,5
52074101,49
52074101,5
52075101,446
52075101,5
52076101,5
52076101,22
52076102,5
52077101,77
52077101,5
52079101,5
52079101,79
52079102,0
52079103,0
52090101,2
52090101,5
52090101,6
52090102,2
52090102,6
52090102,5
60001101,0
60001102,0
60001103,0
60002101,0
60002102,13
60002102,6
60002103,7
60002103,6
60002104,31
60002104,6
60003101,0
60012101,35
60012101,6
60015101,0
60015102,1
60015102,6
60018101,26
60018101,6
60018102,26
60018102,6
60020101,0
60020102,0
60020103,73
60020103,6
60021101,2
60021101,6
60021101,43
60021102,2
60021102,6
60025101,68
60025101,6
60026101,6
60026102,6
60026102,32
60026103,6
60026103,32
60034101,17
60034101,6
60040101,6
60043101,42
60043101,6
60046101,6
60047101,274
60047101,6
60047102,274
60047102,6
60054101,0
60054102,36
60054102,6
60054103,0
60300101,27
60300101,6
60300102,6
60300103,26
60300103,6
60302101,490
60302101,6
60302102,0
60511101,144
60511101,6
60519101,6
60519101,305
60520101,0
60528101,12
60528101,6
60530101,0
60530102,0
60531101,57
60531101,36
60531101,6
60531102,35
60531102,6
60531103,35
60531103,6
60531104,35
60531104,6
60533101,154
60533101,6
60546101,7
60546101,6
60546102,35
60546102,6
60546103,7
60546103,6
60546104,7
60546104,6
60586101,0
60586102,37
60586102,6
60586102,93
60589101,0
60589102,93
60589102,6
60589102,36
60592101,6
60592101,2
60592102,6
60592102,2
60594101,254
60594101,6
60594102,24
60594102,6
61176101,6
61176101,254
61176102,164
61176102,6
61185101,83
61185101,6
61185102,9
61185102,6
61185103,35
61185103,6
61185104,0
61185105,35
61185105,6
61185106,35
61185106,6
61185106,7
61185107,35
61185107,6
61201101,0
61201102,29
61201102,6
61201103,43
61201103,6
61210101,59
61210101,5
61210101,6
61210102,10
61210102,6
61214101,43
61214101,6
61217101,1
61217101,6
61217102,1
61217102,6
61220101,32
61220101,6
61222101,2
61222101,6
61227101,82
61227101,6
61227102,0
61227103,7
61227103,6
61227104,0
61227105,0
61234101,0
61234102,7
61234102,6
61234103,7
61234103,6
61234104,7
61234104,6
61246101,28
61246101,6
61246102,0
61248101,168
61248101,6
61248102,168
61248102,6
61251101,1
61251101,37
61251101,3
61251101,340
61251101,6
61251102,10
61251102,54
61251102,6
61251103,401
61251103,6
61255101,6
61255102,0
61255103,31
61255103,6
61275101,1
61275101,6
61275102,1
61275102,6
61283101,6
61283101,35
61283101,12
61283102,35
61283102,6
61283103,35
61283103,6
61283104,35
61283104,28
61283104,6
61284101,46
61284101,6
61284102,6
61324101,41
61324101,6
61326101,76
61326101,6
61326102,6
61392101,6
61392101,31
61392102,0
61397101,2
61397101,6
61397101,132
61397101,5
61417101,37
61417101,6
61417102,0
61417103,6
61441101,340
61441101,6
61441102,30
61441102,6
62146101,35
62146101,6
62149101,12
62149101,6
62149102,31
62149102,6
62151101,17
62151101,6
62152101,2
62152101,6
70002101,12
70002101,7
70002102,7
70004101,75
70004101,7
70004102,0
70004103,0
70004104,12
70004104,7
70004105,0
70006101,100
70006101,7
70006102,0
70006103,2
70006103,7
70006103,162
70007101,7
70007101,2
70007102,13
70007102,7
70007102,9
70008101,2
70008101,7
70008102,2
70008102,7
70011101,135
70011101,7
70011102,135
70011102,7
70012101,0
70012102,0
70012103,0
70015101,100
70015101,7
70015102,100
70015102,7
70015103,0
70015104,0
70019101,0
70026101,61
70026101,7
70026102,5
70026102,7
70036101,0
70036102,0
70041101,0
70050101,0
70050102,129
70050102,7
70050103,121
70050103,7
70302101,68
70302101,7
70305101,13
70305101,7
70305102,0
70310101,0
70310102,7
70310102,12
70311101,7
70311102,7
70311103,0
70312101,2
70312101,7
70312102,0
70312103,12
70312103,7
70312103,154
70312104,12
70312104,7
70312105,0
70323101,94
70323101,7
70323102,74
70323102,7
70329101,7
70329101,12
70787101,8
70787101,7
70787102,7
70787103,144
70787103,7
70789101,7
70789101,129
70789101,9
70789102,7
70789102,129
70793101,0
70793102,7
70793103,7
70811101,7
70811102,7
70811103,0
70822101,43
70822101,7
70822102,43
70822102,7
70823101,0
70823102,165
70823102,7
70823103,7
70833101,0
70833102,6
70833102,7
70833103,8
70833103,7
70836101,135
70836101,7
70836102,7
70836103,7
70837101,476
70837101,7
70840101,59
70840101,250
70840101,7
70840102,32
70840102,7
70860101,9
70860101,7
70860101,35
70860101,133
70860102,83
70860102,7
70860103,35
70860103,7
70860104,31
70860104,7
70934101,12
70934101,7
70934102,0
70934103,7
70934104,0
70952101,0
70952102,1
70952102,7
70952103,300
70952103,29
70952103,7
70952104,0
70959101,13
70959101,7
70959101,144
70959102,339
70959102,7
71081101,27
71081101,7
71081102,92
71081102,7
71081103,27
71081103,7
71473101,0
71473102,7
71473103,7
71473104,7
71474101,421
71474101,449
71474101,7
71474102,0
71477101,56
71477101,57
71477101,7
71477102,255
71477102,254
71477102,7
71477103,99
71477103,105
71477103,7
71482101,0
71482102,0
71482103,85
71482103,7
71482104,35
71482104,7
71487101,0
71487102,0
71511101,0
71511102,0
71512101,3
71512101,7
71525101,7
71525102,13
71525102,7
71525103,0
71549101,7
71570101,23
71570101,2
71570101,7
71570102,339
71570102,7
71570103,73
71570103,10
71570103,7
71590101,0
71590102,7
71590103,7
71604101,7
71604102,0
71611101,13
71611101,2
71611101,7
71643101,81
71643101,7
71712101,129
71712101,7
80003101,4
80003101,8
80003102,8
80003103,8
80003103,35
80004101,0
80004102,9
80004102,8
80004103,37
80004103,8
80007101,4
80007101,8
80007102,8
80007103,37
80007103,8
80007104,8
80010101,107
80010101,8
80010102,113
80010102,8
80010103,37
80010103,8
80012101,9
80012101,8
80023101,0
80023102,0
80029101,4
80029101,8
80029102,8
80029103,8
80030101,8
80030101,36
80030101,136
80030102,36
80030102,136
80030102,8
80030103,137
80030103,8
80031101,8
80032101,84
80032101,8
80037101,2
80037101,7
80037101,8
80040101,8
80040102,8
80042101,8
80042101,7
80042102,27
80042102,8
80042103,8
80044101,37
80044101,8
80044102,131
80044102,8
80045101,0
80045102,0
80045103,208
80045103,165
80045103,8
80046101,478
80046101,133
80046101,8
80047101,30
80047101,136
80047101,8
80047102,422
80047102,136
80047102,84
80047102,8
80047103,30
80047103,84
80047103,86
80047103,136
80047103,8
80050101,166
80050101,8
80050102,8
80050102,159
80050103,8
80050104,8
80050104,93
80050105,8
80306101,366
80306101,8
80308101,0
80308102,37
80308102,8
80309101,8
80309101,131
80309101,367
80309102,8
80309102,7
80309103,8
80309103,24
80311101,0
80311102,35
80311102,8
80311103,35
80311103,8
80504101,23
80504101,8
80504102,30
80504102,8
80504103,31
80504103,8
80504104,31
80504104,8
80504105,35
80504105,8
80504106,93
80504106,8
80506101,0
80506102,8
80506103,8
80508101,0
80508102,8
80514101,8
80514101,7
80514102,8
80514103,8
80514104,8
80523101,35
80523101,8
80523102,0
80523103,0
80523104,275
80523104,8
80525101,0
80525102,8
80525103,0
80527101,8
80527102,8
80527102,37
80527103,8
80533101,138
80533101,8
80533101,300
80533101,280
80533102,138
80533102,8
80538101,300
80538101,8
80538102,7
80538102,8
80538103,0
80538104,7
80538104,8
80538105,7
80538105,8
80546101,5
80546101,8
80546102,8
80555101,8
80555102,88
